Title,Release_Year,Duration(min),Genre,Ratings,Votes,Gross
Avengers: Endgame,2019,181,"Action, Adventure, Drama            ",8.4,"1,237,379",$858.37M
Avatar,2009,162,"Action, Adventure, Fantasy            ",7.9,"1,370,181",$760.51M
Titanic,1997,194,"Drama, Romance            ",7.9,"1,260,153",$659.33M
Star Wars: Episode VII - The Force Awakens,2015,138,"Action, Adventure, Sci-Fi            ",7.8,"964,029",$936.66M
Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi            ",8.4,"1,176,335",$678.82M
Jurassic World,2015,124,"Action, Adventure, Sci-Fi            ",6.9,"671,548",$652.27M
The Lion King,2019,118,"Animation, Adventure, Drama            ",6.8,"263,124",$543.64M
The Avengers,2012,143,"Action, Sci-Fi            ",8,"1,444,806",$623.28M
Fast & Furious 7,2015,137,"Action, Crime, Thriller            ",7.1,"410,255",$353.01M
Frozen II,2019,103,"Animation, Adventure, Comedy            ",6.8,"190,063",$477.37M
Avengers: Age of Ultron,2015,141,"Action, Adventure, Sci-Fi            ",7.3,"909,498",$459.01M
Black Panther,2018,134,"Action, Adventure, Sci-Fi            ",7.3,"825,269",$700.06M
Harry Potter and the Deathly Hallows - Part 2,2011,130,"Adventure, Family, Fantasy            ",8.1,"931,708",$381.01M
Star Wars: Episode VIII - The Last Jedi,2017,152,"Action, Adventure, Fantasy            ",6.9,"663,136",$620.18M
Jurassic World: Fallen Kingdom,2018,128,"Action, Adventure, Sci-Fi            ",6.1,"338,078",$417.72M
Frozen,I 2013,102,"Animation, Adventure, Comedy            ",7.4,"655,399",$400.74M
Beauty and the Beast,I 2017,129,"Adventure, Family, Fantasy            ",7.1,"329,610",$504.01M
Incredibles 2,2018,118,"Animation, Action, Adventure            ",7.6,"323,666",$608.58M
The Fate of the Furious,2017,136,"Action, Crime, Thriller            ",6.6,"250,058",$226.01M
Iron Man Three,2013,130,"Action, Adventure, Sci-Fi            ",7.1,"888,860",$409.01M
Minions,2015,91,"Animation, Adventure, Comedy            ",6.4,"254,781",$336.05M
Captain America: Civil War,2016,147,"Action, Sci-Fi            ",7.8,"836,998",$408.08M
Aquaman,2018,143,"Action, Adventure, Fantasy            ",6.8,"509,771",$335.06M
Spider-Man: Far from Home,2019,129,"Action, Adventure, Comedy            ",7.4,"542,616",$390.53M
Captain Marvel,2019,123,"Action, Adventure, Sci-Fi            ",6.8,"600,859",$426.83M
Transformers: Dark of the Moon,2011,154,"Action, Adventure, Sci-Fi            ",6.2,"428,138",$352.39M
The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Drama            ",9,"1,944,236",$377.85M
Skyfall,2012,143,"Action, Adventure, Thriller            ",7.8,"723,505",$304.36M
Transformers: Age of Extinction,2014,165,"Action, Adventure, Sci-Fi            ",5.6,"328,800",$245.44M
The Dark Knight Rises,2012,164,"Action, Drama, Thriller            ",8.4,"1,797,833",$448.14M
Toy Story 4,2019,100,"Animation, Adventure, Comedy            ",7.7,"274,172",$434.04M
Joker,I 2019,122,"Crime, Drama, Thriller            ",8.4,"1,437,847",$335.45M
Toy Story 3,2010,103,"Animation, Adventure, Comedy            ",8.3,"879,997",$415.00M
Pirates of the Caribbean: Dead Man's Chest,2006,151,"Action, Adventure, Fantasy            ",7.4,"756,207",$423.32M
Rogue One,2016,133,"Action, Adventure, Sci-Fi            ",7.8,"676,421",$532.18M
Aladdin,2019,128,"Adventure, Comedy, Family            ",6.9,"285,628",$355.56M
Star Wars: Episode IX - The Rise of Skywalker,2019,141,"Action, Adventure, Fantasy            ",6.4,"483,794",$515.20M
Pirates of the Caribbean: On Stranger Tides,2011,137,"Action, Adventure, Fantasy            ",6.6,"555,865",$241.06M
Despicable Me 3,2017,89,"Animation, Adventure, Comedy            ",6.2,"149,280",$264.62M
Jurassic Park,1993,127,"Action, Adventure, Sci-Fi            ",8.2,"1,048,741",$402.45M
Finding Dory,2016,97,"Animation, Adventure, Comedy            ",7.2,"297,488",$486.30M
Star Wars: Episode I - The Phantom Menace,1999,136,"Action, Adventure, Fantasy            ",6.5,"844,643",$474.54M
Alice in Wonderland,I 2010,108,"Adventure, Family, Fantasy            ",6.4,"435,546",$334.19M
Zootopia,2016,108,"Animation, Adventure, Comedy            ",8,"535,246",$341.27M
The Hobbit: An Unexpected Journey,2012,169,"Adventure, Fantasy            ",7.8,"861,684",$303.00M
The Dark Knight,2008,152,"Action, Crime, Drama            ",9,"2,820,047",$534.86M
Harry Potter and the Sorcerer's Stone,2001,152,"Adventure, Family, Fantasy            ",7.6,"841,270",$317.58M
Despicable Me 2,2013,98,"Animation, Adventure, Comedy            ",7.3,"419,892",$368.06M
The Lion King,1994,88,"Animation, Adventure, Drama            ",8.5,"1,122,234",$422.78M
The Jungle Book,2016,106,"Animation, Action, Adventure            ",7.4,"289,142",$364.00M
